Name,Language,IMDB Rating,Biography,Drama,Thriller,Comedy,Crime,Mystery,History,Label
Sakath,Kannada,8.2,0,0,0,1,0,0,0,0
Bajrangi Bhaijaan,Hindi,8.1,0,0,0,1,0,0,0,0
K.G.F: Chapter 2,Kannada,8.5,0,0,0,0,1,0,0,0
Jersey,Telugu,8.3,1,0,0,0,0,0,0,0
Chhichhore,Hindi,8.1,0,0,0,1,0,0,0,0
Colour Photo,Telugu,7.6,0,0,0,0,0,0,0,0
3 Idiots,Hindi,8.3,0,0,0,1,0,0,0,0
Jai Bhim,Tamil,8.4,0,1,0,0,1,0,0,0
96,Tamil,8.2,0,1,0,0,0,0,0,0
English Vinglish,Hindi,7.8,0,1,0,0,0,0,0,0
Eega,Telugu,7.6,0,1,0,0,0,0,0,0
Ayyappanum Koshiyum,Malayalam,8.0,0,1,0,0,0,0,0,0
Upendra,Kannada,8.9,0,1,1,0,0,0,0,0
Soorarai Pottru,Tamil,8.3,0,1,0,0,0,0,0,0
Drishyam 2,Malayalam,8.6,0,1,1,0,1,0,0,0
Bangalore Days,Kannada,8.3,0,1,0,1,0,0,0,0
Dhuruvangal Pathinaaru,Tamil,8.3,0,1,0,0,1,0,0,0
PK,Hindi,8.1,0,1,0,1,0,0,0,0
Baahubali 2: The Conclusion,Telugu,8.0,0,1,0,0,0,0,0,0
Pushpa: The Rise-Part 1,Telugu,7.9,0,0,0,0,1,0,0,0
